sh050m,sh100m,sh500m,MedianIncome,MigraRate,BirthRate,DeathRate,BachelorRate,UnemploymentRate,DEM,GOP
0.57,0.69,0.87,54487.0,5.3,12.2,10.0,27.7,5.1,5908,18110
0.53,0.57,0.83,56460.0,21.5,11.2,9.8,31.3,5.3,18409,72780
0.59,0.71,0.9,32884.0,-18.2,10.6,10.8,12.2,8.3,4848,5431
0.75,0.8,0.92,43079.0,-0.8,12.1,10.8,11.5,6.4,1874,6733
0.75,0.8,0.92,47213.0,-1.0,12.2,11.2,12.6,5.4,2150,22808
0.68,0.76,0.91,34278.0,-3.1,13.8,12.5,13.3,6.8,3530,1139
0.68,0.76,0.91,35409.0,-6.1,11.5,12.6,16.1,6.9,3716,4891
0.64,0.77,0.91,41778.0,-3.7,12.0,12.7,18.0,6.5,13197,32803
0.71,0.81,0.93,39530.0,-5.4,11.5,13.1,13.2,5.5,5763,7803
0.73,0.83,0.93,41456.0,5.5,9.5,13.4,12.9,5.0,1524,8809
0.69,0.79,0.92,44188.0,2.9,12.1,10.8,14.2,5.5,2909,15068
0.57,0.72,0.91,32691.0,-11.3,11.0,13.8,13.0,8.5,3109,4102
0.53,0.69,0.92,34061.0,-14.3,11.4,11.6,12.6,10.8,5712,7109
0.68,0.81,0.93,38512.0,1.6,10.1,13.3,10.2,5.9,1234,5230
0.73,0.83,0.94,43483.0,-1.3,10.7,13.8,13.7,6.0,684,5738
0.53,0.6,0.81,48632.0,0.9,12.9,10.0,23.4,5.9,4194,15825
0.67,0.79,0.92,46572.0,1.2,11.7,12.9,18.7,6.9,7296,16718
0.55,0.72,0.89,29758.0,-11.9,11.4,13.8,10.7,8.4,3069,3413
0.61,0.78,0.91,36441.0,-4.0,8.0,14.2,11.6,5.9,1780,3376
0.63,0.74,0.91,35010.0,-3.2,12.1,13.3,14.9,6.7,2379,13222
0.68,0.78,0.92,37374.0,5.3,11.8,12.4,15.6,5.8,1663,4511
0.73,0.79,0.91,41543.0,8.0,12.2,11.8,13.7,5.0,3730,32734
0.53,0.6,0.8,40523.0,-4.5,13.3,9.7,17.0,5.8,4408,13798
0.54,0.75,0.91,30488.0,-19.6,12.6,14.1,15.1,9.2,12826,5784
0.72,0.81,0.93,37128.0,-0.9,12.1,11.2,12.7,6.1,3682,21779
0.63,0.73,0.89,54553.0,2.8,11.1,9.6,24.5,4.7,8436,27619
0.65,0.75,0.91,35096.0,-2.9,11.8,13.7,12.7,6.6,4698,10282
0.68,0.79,0.92,40972.0,0.4,11.8,13.6,17.7,5.9,10350,32132
0.7,0.8,0.92,38403.0,-5.0,10.2,13.5,12.9,6.7,1358,6705
0.69,0.8,0.92,37049.0,2.6,13.4,12.3,12.9,5.9,2197,9466
0.68,0.74,0.9,36976.0,-1.8,10.7,14.1,11.1,5.8,1522,9967
0.67,0.77,0.91,26559.0,-1.6,10.9,12.2,10.1,9.9,4006,838
0.68,0.77,0.91,35381.0,-12.8,12.8,12.4,14.1,7.6,4772,3172
0.65,0.73,0.91,41426.0,1.8,10.4,13.5,18.0,6.5,2286,5623
0.58,0.68,0.88,42910.0,-2.5,12.6,10.3,21.0,5.8,10547,30567
0.71,0.81,0.93,41407.0,0.2,10.7,14.1,14.2,6.3,3663,16643
0.65,0.7,0.89,50109.0,-2.6,13.2,10.6,32.4,5.7,151581,130614
0.72,0.8,0.93,38358.0,4.7,11.1,15.7,12.5,5.6,1035,5819
0.62,0.73,0.92,44124.0,1.8,10.1,12.1,23.9,6.3,9877,27735
0.79,0.84,0.94,43107.0,3.6,11.1,11.8,11.7,6.9,3611,10732
0.45,0.57,0.86,47749.0,8.4,12.3,6.2,34.1,5.2,20987,34321
0.65,0.72,0.89,52181.0,11.0,11.1,8.3,25.5,5.2,9340,28824
0.74,0.81,0.92,32011.0,-9.5,12.1,12.3,14.1,10.5,4882,1751
0.57,0.63,0.85,30681.0,-9.2,10.1,13.5,20.7,7.6,7237,1394
0.52,0.61,0.84,61193.0,7.8,11.8,8.8,41.7,5.1,62435,89199
0.48,0.66,0.9,34794.0,-12.3,12.6,12.7,15.4,7.1,5607,5224
0.66,0.79,0.93,36386.0,-1.7,10.2,13.7,13.1,6.6,1432,11273
0.69,0.78,0.91,42117.0,3.2,14.4,12.1,19.2,5.3,4913,29217
0.66,0.7,0.88,45233.0,-1.6,13.5,10.4,22.9,6.6,68429,91087
0.55,0.74,0.92,36639.0,-6.4,10.1,11.7,14.1,9.0,4310,5771
0.6,0.68,0.88,45111.0,-4.9,13.8,9.6,32.1,5.6,58669,33928
0.65,0.76,0.9,46843.0,-3.2,12.0,11.4,21.7,5.5,11216,37392
0.6,0.73,0.89,25221.0,-11.9,13.8,13.4,15.7,10.3,3823,1403
0.7,0.78,0.92,35968.0,-21.4,11.4,12.9,13.5,6.9,3972,5454
0.5,0.63,0.9,35172.0,-2.6,11.5,8.9,23.6,6.5,5039,7681
